"STATION","NAME","DATE","PRCP","SNOW","SNWD","WESD","WESF"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-03","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-04","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-05","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-06","0.03","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-07","0.02","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-08","0.21","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-09","0.07","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-10","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-11","0.11","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-12","0.68","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-13","0.11","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-14","0.03","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-15","0.24","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-16","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-17","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-18","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-19","0.02","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-20","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-21","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-22","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-23","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-24","0.03","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-25","0.03","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-26","0.02","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-27","0.10","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-28","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-29","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-30","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-07-31","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-01","0.04","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-02","0.03","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-03","0.01","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-04","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-05","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-06","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-07","0.33","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-08","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-09","0.06","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-10","0.75","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-11","0.25","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-12","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-13","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-14","0.05","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-15","0.19","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-16","0.02","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-17","0.04","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-18","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-19","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-20","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-21","0.01","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-22","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-23","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-24","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-25","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-26","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-27","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-28","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-29","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-30","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-08-31","0.01","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-01","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-02","0.01","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-03","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-04","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-05","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-06","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-07","0.31","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-19","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-20","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-21","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-22","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-23","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-24","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-25","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-26","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-27","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-28","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-29","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-09-30","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-01","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-02","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-03","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-04","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-05","0.15","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-06","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-07","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-08","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-09","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-10","0.11","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-11","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-12","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-13","0.00","0.0","0",,"0.0"
"US1COBO0019","BOULDER 4.6 E, CO US","2001-10-14","0.00","0.0","0",,"0.0"
