Date,Temp,Precipitation,Snowfall,Fog,Ice,Crashes
2017-01-01,47,0.00,0.0,47,47,45
2017-01-02,52,0.00,0.0,52,52,42
2017-01-03,32,0.00,0.0,32,32,54
2017-01-04,12,0.10,1.5,12,12,61
2017-01-05,5,0.24,2.6,5,5,83
2017-01-06,20,0.00,0.0,20,20,102
2017-01-07,26,0.00,0.0,26,26,63
2017-01-08,48,0.00,0.0,48,48,52
2017-01-09,62,0.00,0.0,62,62,64
2017-01-10,52,0.00,0.0,52,52,86
2017-01-11,56,0.00,0.0,56,56,83
2017-01-12,40,0.00,0.0,40,40,74
2017-01-13,39,0.00,0.0,39,39,61
2017-01-14,42,0.00,0.0,42,42,36
2017-01-15,35,0.00,0.0,35,35,41
2017-01-16,35,0.20,2.2,35,35,95
2017-01-17,46,0.00,0.0,46,46,116
2017-01-18,52,0.00,0.0,52,52,78
2017-01-19,54,0.00,0.0,54,54,66
2017-01-20,45,0.00,0.0,45,45,79
2017-01-21,42,0.00,0.0,42,42,52
2017-01-22,47,0.00,0.0,47,47,42
2017-01-23,54,0.00,0.0,54,54,56
2017-01-24,32,0.00,0.0,32,32,57
2017-01-25,30,0.00,0.0,30,30,74
2017-01-26,31,0.00,0.0,31,31,68
2017-01-27,40,0.00,0.0,40,40,75
2017-01-28,50,0.00,0.0,50,50,49
2017-01-29,61,0.00,0.0,61,61,43
2017-01-30,63,0.00,0.0,63,63,62
2017-01-31,61,0.00,0.0,61,61,67
2017-02-01,31,0.00,0.0,31,31,86
2017-02-02,26,0.00,0.0,26,26,132
2017-02-03,38,0.00,0.0,38,38,92
2017-02-04,60,0.00,0.0,60,60,61
2017-02-05,58,0.00,0.0,58,58,45
2017-02-06,61,0.00,0.0,61,61,57
2017-02-07,62,0.00,0.0,62,62,54
2017-02-08,58,0.00,0.0,58,58,73
2017-02-09,68,0.00,0.0,68,68,58
2017-02-10,80,0.00,0.0,80,80,81
2017-02-11,56,0.00,0.0,56,56,48
2017-02-12,49,0.00,0.0,49,49,39
2017-02-13,48,0.00,0.0,48,48,53
2017-02-14,49,0.00,0.0,49,49,84
2017-02-15,67,0.00,0.0,67,67,63
2017-02-16,75,0.00,0.0,75,75,54
2017-02-17,66,0.00,0.0,66,66,61
2017-02-18,67,0.00,0.0,67,67,35
2017-02-19,64,0.00,0.0,64,64,39
2017-02-20,63,0.00,0.0,63,63,47
2017-02-21,73,0.00,0.0,73,73,56
2017-02-22,57,0.00,0.0,57,57,60
2017-02-23,33,0.16,1.3,33,33,111
2017-02-24,26,0.05,0.3,26,26,76
2017-02-25,38,0.00,0.0,38,38,55
2017-02-26,42,0.00,0.0,42,42,40
2017-02-27,58,0.00,0.0,58,58,57
