Date,Temp,Precipitation,Snowfall,Fog,Ice,Crashes
2015-01-01,23.2,0,0,No,No,1
2015-01-02,41,0,0,No,No,9
2015-01-03,46,0.16,0,Yes,No,14
2015-01-04,48.9,0.29,0,Yes,No,8
2015-01-05,32,0,0,No,No,15
2015-01-06,26.2,0,0,No,No,11
2015-01-07,16.2,0,0,No,No,12
2015-01-08,11.1,0,0,No,No,13
2015-01-09,22.1,0,0,No,No,13
2015-01-10,22.1,0,0,No,No,9
2015-01-11,17.2,0,0,No,No,5
2015-01-12,36,1.29,0,Yes,No,9
2015-01-13,31.1,0.03,0,Yes,No,9
2015-01-14,28.2,0.01,0,Yes,No,13
2015-01-15,31.1,0,0,Yes,No,10
2015-01-16,30.2,0,0,Yes,No,13
2015-01-17,27.1,0,0,No,No,10
2015-01-18,41,0.49,0,Yes,No,6
2015-01-19,31.1,0,0,No,No,8
2015-01-20,39,0,0,No,No,10
2015-01-21,36,0,0,No,No,9
2015-01-22,30.2,0,0,Yes,No,9
2015-01-23,35.1,0.67,0,Yes,No,13
2015-01-24,35.1,0.14,0,Yes,No,22
2015-01-25,29.1,0,0,No,No,8
2015-01-26,37.9,0.24,0,Yes,No,17
2015-01-27,30.2,0.01,0,Yes,No,6
2015-01-28,25.2,0,0,No,No,8
2015-01-29,23.2,0.02,0,Yes,Yes,11
2015-01-30,29.1,0,0,No,No,11
2015-01-31,22.1,0,0,No,No,7
2015-02-01,32,0,0,No,No,4
2015-02-02,29.1,0.39,0,Yes,No,16
2015-02-03,22.1,0,0,No,No,18
2015-02-04,25.2,0,0,No,No,13
2015-02-05,27.1,0,0,No,No,8
2015-02-06,17.2,0,0,No,No,13
2015-02-07,26.2,0,0,No,No,6
2015-02-08,39,0,0,No,No,12
2015-02-09,45,0.4,0,Yes,No,12
2015-02-10,36,0.17,0,Yes,No,10
2015-02-11,30.2,0,0,No,No,8
2015-02-12,29.1,0,0,No,No,9
2015-02-13,23.2,0,0,No,No,10
2015-02-14,22.1,0,0,Yes,No,12
2015-02-15,15.3,0,0,No,No,9
2015-02-16,19.2,0.22,0.31,Yes,Yes,11
2015-02-17,19.2,0.39,0.71,Yes,Yes,7
2015-02-18,19.2,0.06,0.39,Yes,No,6
2015-02-19,12.2,0,0,No,No,10
2015-02-20,7.2,0,0,No,No,10
2015-02-21,18.1,0,0,Yes,No,11
2015-02-22,34,0.08,0,Yes,No,5
2015-02-23,30.2,0.03,0,Yes,No,9
2015-02-24,19.2,0.09,1.42,Yes,No,40
2015-02-25,18.1,0.36,1.89,Yes,Yes,18
2015-02-26,28.2,0.72,3.19,Yes,Yes,4
2015-02-27,23.2,0,0,Yes,No,9
2015-02-28,26.2,0,0,No,No,9
2015-03-01,28.2,0.67,0,Yes,No,3
2015-03-02,34,0,0,Yes,No,13
2015-03-03,35.1,0.07,0,Yes,No,7
2015-03-04,37.9,0.02,0,Yes,No,19
2015-03-05,32,0.97,0,Yes,No,12
2015-03-06,24.3,0,0,No,No,15
2015-03-07,20.1,0,0,No,No,9
2015-03-08,35.1,0,0,No,No,5
2015-03-09,48,0,0,No,No,8
2015-03-10,50,0,0,No,No,19
2015-03-11,59,0.11,0,Yes,No,14
2015-03-12,48.9,0,0,No,No,6
2015-03-13,42.1,0.02,0,No,No,16
2015-03-14,45,0.3,0,Yes,No,10
2015-03-15,48,0,0,Yes,No,3
2015-03-16,41,0,0,No,No,9
2015-03-17,46.9,0,0,No,No,16
2015-03-18,39,0,0,No,No,10
2015-03-19,39.9,0.34,0,Yes,No,9
2015-03-20,39.9,0.31,0,Yes,No,6
2015-03-21,39.9,0,0,Yes,No,3
2015-03-22,46.9,0,0,Yes,No,4
2015-03-23,43,0,0,No,No,9
2015-03-24,36,0,0,No,No,7
2015-03-25,46.9,0,0,No,No,8
2015-03-26,57,0.13,0,Yes,No,6
2015-03-27,39.9,0.18,0,Yes,No,10
2015-03-28,32,0,0,No,No,7
2015-03-29,22.1,0,0,No,No,8
2015-03-30,41,0.16,0,Yes,No,12
2015-03-31,35.1,0,0,Yes,No,15
2015-04-01,46.9,0,0,No,No,12
2015-04-02,39,0,0,No,No,9
2015-04-03,61,0,0,No,No,13
2015-04-04,43,0,0,No,No,11
2015-04-05,33.1,0,0,No,No,7
2015-04-06,52,0,0,No,No,11
2015-04-07,61,0.11,0,Yes,No,15
2015-04-08,62.1,0,0,Yes,No,14
2015-04-09,57,0.53,0,Yes,No,10
2015-04-10,64.9,0,0,No,No,13
2015-04-11,52,0,0,No,No,9
2015-04-12,46.9,0,0,No,No,4
2015-04-13,50,0,0,No,No,8
2015-04-14,61,1.23,0,Yes,No,9
2015-04-15,52,0.31,0,Yes,No,11
2015-04-16,48,0.05,0,No,No,9
2015-04-17,55.9,0,0,Yes,No,16
2015-04-18,61,0.01,0,Yes,No,11
2015-04-19,63,0.76,0,Yes,No,13
2015-04-20,63,0.28,0,Yes,No,7
2015-04-21,52,0.63,0,Yes,No,9
