Date,Temp,Precipitation,Snowfall,Fog,Ice,Crashes
2017-01-02,33,0,33,33,33,235
2017-01-03,41,0,41,41,41,233
2017-01-04,39,0.02,39,39,39,250
2017-01-05,40,0,40,40,40,332
2017-01-06,48,0.13,48,48,48,398
2017-01-07,47,0.15,47,47,47,382
2017-01-08,48,0,48,48,48,471
2017-01-09,43,0.11,43,43,43,364
2017-01-10,46,0.06,46,46,46,351
2017-01-11,42,0.01,42,42,42,510
2017-01-12,35,0.02,35,35,35,348
2017-01-13,36,0.12,36,36,36,438
2017-01-14,39,0.07,39,39,39,261
2017-01-15,47,0.09,47,47,47,373
2017-01-16,48,0,48,48,48,416
2017-01-17,48,0.01,48,48,48,354
2017-01-18,46,0,46,46,46,346
2017-01-19,44,0,44,44,44,400
2017-01-20,42,0,42,42,42,467
2017-01-21,36,0,36,36,36,357
2017-01-22,34,0,34,34,34,411
2017-01-23,38,0,38,38,38,524
2017-01-24,48,0.02,48,48,48,364
2017-01-25,47,0,47,47,47,434
2017-01-26,42,0,42,42,42,240
2017-01-27,42,0,42,42,42,414
2017-01-28,39,0.09,39,39,39,426
2017-01-29,37,0.11,37,37,37,303
2017-01-30,44,0.02,44,44,44,301
2017-01-31,47,0.43,47,47,47,420
2017-02-01,45,0.28,45,45,45,509
2017-02-02,50,0.05,50,50,50,350
2017-02-03,43,0.14,43,43,43,324
2017-02-04,38,0.17,38,38,38,339
2017-02-05,34,0,34,34,34,399
2017-02-06,40,0,40,40,40,459
2017-02-07,40,0.06,40,40,40,214
2017-02-08,36,0,36,36,36,429
2017-02-09,38,0,38,38,38,429
2017-02-10,35,0,35,35,35,278
2017-02-11,35,0,35,35,35,317
2017-02-12,38,0.06,38,38,38,464
2017-02-13,43,0.06,43,43,43,391
2017-02-14,42,0,42,42,42,375
2017-02-15,47,0,47,47,47,369
2017-02-16,45,0.02,45,45,45,324
2017-02-17,48,0.13,48,48,48,480
2017-02-18,49,0.06,49,49,49,520
2017-02-19,48,0.01,48,48,48,296
2017-02-20,50,0.01,50,50,50,388
2017-02-21,47,0,47,47,47,360
2017-02-22,44,0.06,44,44,44,245
2017-02-23,42,0.24,42,42,42,409
2017-02-24,40,0.12,40,40,40,446
2017-02-25,47,0.05,47,47,47,341
2017-02-26,43,0.02,43,43,43,351
2017-02-27,36,0.61,36,36,36,332
2017-02-28,37,0.02,37,37,37,480
2017-03-01,39,0.15,39,39,39,535
2017-03-02,38,0.08,38,38,38,325
2017-03-03,41,0.13,41,41,41,424
2017-03-04,42,0.5,42,42,42,451
2017-03-05,41,0.08,41,41,41,404
2017-03-06,38,0,38,38,38,352
2017-03-07,40,0.03,40,40,40,401
2017-03-08,46,0.31,46,46,46,381
2017-03-09,47,0.01,47,47,47,409
2017-03-10,49,0,49,49,49,401
2017-03-11,50,0.09,50,50,50,325
2017-03-12,47,0.08,47,47,47,503
2017-03-13,50,0.02,50,50,50,495
2017-03-14,50,0.02,50,50,50,293
2017-03-15,49,0,49,49,49,355
2017-03-16,46,0,46,46,46,344
2017-03-17,45,0.06,45,45,45,360
2017-03-18,51,0.09,51,51,51,334
2017-03-19,49,0.17,49,49,49,421
2017-03-20,44,0.18,44,44,44,368
2017-03-21,36,0.05,36,36,36,463
2017-03-22,39,0.01,39,39,39,423
2017-03-23,42,0.35,42,42,42,396
2017-03-24,43,0,43,43,43,446
2017-03-25,43,0,43,43,43,393
2017-03-26,46,0,46,46,46,436
2017-03-27,47,0,47,47,47,458
2017-03-28,47,0,47,47,47,319
2017-03-29,52,0,52,52,52,316
2017-03-30,54,0,54,54,54,334
2017-03-31,51,0.08,51,51,51,418
2017-04-01,47,0.5,47,47,47,427
2017-04-02,47,0.08,47,47,47,412
2017-04-03,50,0,50,50,50,386
2017-04-04,48,0.06,48,48,48,362
2017-04-05,48,0,48,48,48,429
2017-04-06,48,0,48,48,48,298
2017-04-07,47,0,47,47,47,435
2017-04-08,48,0,48,48,48,459
2017-04-09,48,0,48,48,48,442
2017-04-10,46,0,46,46,46,336
2017-04-11,49,0,49,49,49,345
2017-04-12,48,0.01,48,48,48,315
2017-04-13,47,0.02,47,47,47,409
2017-04-14,47,0.03,47,47,47,455
2017-04-15,45,0.06,45,45,45,350
2017-04-16,47,0.02,47,47,47,345
2017-04-17,47,0.17,47,47,47,466
2017-04-18,44,0,44,44,44,396
2017-04-19,50,0.02,50,50,50,466
2017-04-20,51,0,51,51,51,279
2017-04-21,50,0,50,50,50,383
2017-04-22,47,0,47,47,47,463
2017-04-23,45,0,45,45,45,397
2017-04-24,44,0.04,44,44,44,257
2017-04-25,42,0.15,42,42,42,448
2017-04-26,42,0,42,42,42,452
2017-04-27,46,0.01,46,46,46,333
2017-04-28,47,0.01,47,47,47,467
2017-04-29,49,0,49,49,49,309
2017-04-30,52,0,52,52,52,418
2017-05-01,54,0,54,54,54,490
2017-05-02,53,0,53,53,53,229
2017-05-03,52,0,52,52,52,372
2017-05-04,52,0,52,52,52,352
2017-05-05,51,0,51,51,51,335
2017-05-06,51,0,51,51,51,364
2017-05-07,53,0,53,53,53,493
2017-05-08,51,0,51,51,51,401
2017-05-09,50,0,50,50,50,389
2017-05-10,50,0,50,50,50,507
2017-05-11,53,0,53,53,53,306
2017-05-12,54,0.02,54,54,54,406
2017-05-13,54,0.22,54,54,54,491
2017-05-14,52,0.1,52,52,52,402
